PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
Mack Hollins,WR,PHI,@ATL,-110,52.50,-1.50,27.00,3000,1.5,0.5,0.22
Gary Jennings,WR,SEA,@PIT,-110,47.00,4.00,21.50,3000,2.3,0.8,0.21
Justin Hardy,WR,ATL,PHI,-110,52.50,1.50,25.50,3100,1.7,0.6,0.21
Rashard Higgins,WR,CLE,@NYJ,-110,44.00,-6.50,25.25,3300,3.6,1.1,0.20
Alex Erickson,WR,CIN,SF,-110,45.50,-2.00,23.75,3200,2.9,0.9,0.20
Jeremy Sprinkle,TE,WAS,DAL,-110,46.50,5.50,20.50,2500,1.5,0.6,0.20
Trevor Davis,WR,GB,MIN,-105,44.00,-3.00,23.50,3000,3.1,1.0,0.19
C.J. Prosise,RB,SEA,@PIT,-110,47.00,4.00,21.50,3000,2.0,0.7,0.19
Ryan Izzo,TE,NE,@MIA,-110,48.50,-18.50,33.50,2500,1.8,0.7,0.19
Deonte Harris,WR,NO,@LAR,-110,52.00,2.00,25.00,3000,1.1,0.4,0.19
Trayveon Williams,RB,CIN,SF,-110,45.50,-2.00,23.75,3000,2.3,0.8,0.18
Mike Thomas,WR,LAR,NO,-110,52.00,-2.00,27.00,3000,1.3,0.4,0.18
DaeSean Hamilton,WR,DEN,CHI,-105,40.50,2.50,19.00,3800,5.3,1.4,0.17
Brian Hill,RB,ATL,PHI,-110,52.50,1.50,25.50,3000,1.1,0.3,0.17
Bennie Fowler,WR,NYG,BUF,-110,44.00,1.50,21.25,3300,4.0,1.2,0.16
Jaron Brown,WR,SEA,@PIT,-110,47.00,4.00,21.50,3300,1.7,0.5,0.16
Trent Sherfield,WR,ARI,@BAL,-115,46.00,13.00,16.50,3000,1.4,0.5,0.16
Trenton Cannon,RB,NYJ,CLE,-110,44.00,6.50,18.75,3000,2.5,0.8,0.15
Ameer Abdullah,RB,MIN,@GB,-115,44.00,3.00,20.50,3000,1.9,0.6,0.15
Olamide Zaccheaus,WR,ATL,PHI,-110,52.50,1.50,25.50,3000,1.2,0.4,0.15
Nsimba Webster,WR,LAR,NO,-110,52.00,-2.00,27.00,3000,1.0,0.3,0.15
Benny Snell,RB,PIT,SEA,-110,47.00,-4.00,25.50,3100,1.0,0.3,0.15
Ben Braunecker,TE,CHI,@DEN,-115,40.50,-2.50,21.50,2500,1.0,0.4,0.15
Trevon Wesco,TE,NYJ,CLE,-110,44.00,6.50,18.75,2500,0.6,0.2,0.15
Preston Williams,WR,MIA,NE,-110,48.50,18.50,15.00,3400,4.9,1.4,0.14
Keelan Cole,WR,JAX,@HOU,-110,43.50,9.00,17.25,3300,1.0,0.3,0.14
Damien Harris,RB,NE,@MIA,-110,48.50,-18.50,33.50,3500,3.2,0.9,0.13
Dwayne Harris,WR,OAK,KC,-115,53.50,7.00,23.25,3000,1.0,0.3,0.13
Devine Ozigbo,RB,JAX,@HOU,-110,43.50,9.00,17.25,3000,0.8,0.3,0.13
Kenjon Barner,RB,ATL,PHI,-110,52.50,1.50,25.50,3000,0.6,0.2,0.13
Mike Boone,RB,MIN,@GB,-115,44.00,3.00,20.50,3000,1.5,0.5,0.12
Albert Wilson,WR,MIA,NE,-110,48.50,18.50,15.00,3800,4.7,1.2,0.11
Tavon Austin,WR,DAL,@WAS,-110,46.50,-5.50,26.00,3000,2.4,0.8,0.11
Troymaine Pope,RB,LAC,@DET,-110,47.50,-2.50,25.00,3000,2.0,0.7,0.11
Robert Foster,WR,BUF,@NYG,-110,44.00,-1.50,22.75,3300,1.8,0.6,0.11
Qadree Ollison,RB,ATL,PHI,-110,52.50,1.50,25.50,3000,0.4,0.1,0.11
Trevor Siemian,QB,NYJ,CLE,-110,44.00,6.50,18.75,4000,9.1,2.3,0.10
Bilal Powell,RB,NYJ,CLE,-110,44.00,6.50,18.75,3000,1.8,0.6,0.10
D.J. Foster,RB,ARI,@BAL,-115,46.00,13.00,16.50,3000,0.9,0.3,0.10
Taiwan Jones,RB,HOU,JAX,-110,43.50,-9.00,26.25,3000,0.8,0.3,0.10
Bradley Sowell,TE,CHI,@DEN,-115,40.50,-2.50,21.50,2500,0.4,0.2,0.10
Darrel Williams,RB,KC,@OAK,-105,53.50,-7.00,30.25,3100,0.3,0.1,0.10
Cordarrelle Patterson,WR,CHI,@DEN,-115,40.50,-2.50,21.50,3500,2.8,0.8,0.09
Jake Kumerow,WR,GB,MIN,-105,44.00,-3.00,23.50,3200,1.8,0.6,0.09
Mark Walton,RB,MIA,NE,-110,48.50,18.50,15.00,3000,3.9,1.3,0.08
Josh Bellamy,WR,NYJ,CLE,-110,44.00,6.50,18.75,3200,2.0,0.6,0.08
Zach Pascal,WR,IND,@TEN,100,43.50,3.00,20.25,3000,1.4,0.5,0.08
Samaje Perine,RB,CIN,SF,-110,45.50,-2.00,23.75,3500,1.0,0.3,0.08
Allen Hurns,WR,MIA,NE,-110,48.50,18.50,15.00,3200,3.8,1.2,0.07
Isaiah McKenzie,WR,BUF,@NYG,-110,44.00,-1.50,22.75,3000,1.3,0.4,0.07
Darius Jennings,WR,TEN,IND,-120,43.50,-3.00,23.25,3000,1.2,0.4,0.07
Cullen Gillaspia,RB,HOU,JAX,-110,43.50,-9.00,26.25,3000,0.3,0.1,0.07
Wayne Gallman,RB,NYG,BUF,-110,44.00,1.50,21.25,3300,2.9,0.9,0.06
Damion Ratley,WR,CLE,@NYJ,-110,44.00,-6.50,25.25,3100,1.7,0.5,0.06
Travis Fulgham,WR,DET,LAC,-110,47.50,2.50,22.50,3000,1.3,0.4,0.06
Andre Roberts,WR,BUF,@NYG,-110,44.00,-1.50,22.75,3000,1.3,0.4,0.06
Nick O'Leary,TE,MIA,NE,-110,48.50,18.50,15.00,2500,1.2,0.5,0.06
Durham Smythe,TE,MIA,NE,-110,48.50,18.50,15.00,2500,1.2,0.5,0.06
Troy Fumagalli,TE,DEN,CHI,-105,40.50,2.50,19.00,2500,1.0,0.4,0.06
Juwann Winfree,WR,DEN,CHI,-105,40.50,2.50,19.00,3000,3.1,1.0,0.05
Taywan Taylor,WR,CLE,@NYJ,-110,44.00,-6.50,25.25,3000,1.6,0.5,0.05
Devin Smith,WR,DAL,@WAS,-110,46.50,-5.50,26.00,3000,1.4,0.5,0.05
Ty Johnson,RB,DET,LAC,-110,47.50,2.50,22.50,3000,0.9,0.3,0.05
David Fluellen,RB,TEN,IND,-120,43.50,-3.00,23.25,3000,0.5,0.2,0.05
Travis Homer,RB,SEA,@PIT,-110,47.00,4.00,21.50,3000,0.0,0.0,0.05
Jakobi Meyers,WR,NE,@MIA,-110,48.50,-18.50,33.50,3000,2.0,0.7,0.04
KhaDarel Hodge,WR,CLE,@NYJ,-110,44.00,-6.50,25.25,3000,1.3,0.4,0.04
Darrius Shepherd,WR,GB,MIN,-105,44.00,-3.00,23.50,3000,1.0,0.3,0.04
Chris Lacy,WR,DET,LAC,-110,47.50,2.50,22.50,3000,0.9,0.3,0.04
Dexter Williams,RB,GB,MIN,-105,44.00,-3.00,23.50,3000,0.9,0.3,0.04
Riley Ridley,WR,CHI,@DEN,-115,40.50,-2.50,21.50,3000,1.2,0.4,0.03
James Develin,RB,NE,@MIA,-110,48.50,-18.50,33.50,3000,1.1,0.4,0.03
Devontae Booker,RB,DEN,CHI,-105,40.50,2.50,19.00,3000,2.2,0.7,0.02
Darius Slayton,WR,NYG,BUF,-110,44.00,1.50,21.25,3000,1.2,0.4,0.02
Steven Sims,WR,WAS,DAL,-110,46.50,5.50,20.50,3000,0.6,0.2,0.02
Braxton Berrios,WR,NYJ,CLE,-110,44.00,6.50,18.75,3000,0.5,0.2,0.02
Kerrith Whyte,RB,CHI,@DEN,-115,40.50,-2.50,21.50,3000,0.3,0.1,0.02
Taysom Hill,QB,NO,@LAR,-110,52.00,2.00,25.00,4200,2.1,0.5,0.01
Myles Gaskin,RB,MIA,NE,-110,48.50,18.50,15.00,3000,1.6,0.5,0.01
Russell Shepard,WR,NYG,BUF,-110,44.00,1.50,21.25,3000,0.8,0.3,0.01
Kelvin Harmon,WR,WAS,DAL,-110,46.50,5.50,20.50,3000,0.6,0.2,0.01
Paul Perkins,RB,NYG,BUF,-110,44.00,1.50,21.25,3100,0.5,0.2,0.01
Cody Core,WR,NYG,BUF,-110,44.00,1.50,21.25,3000,0.3,0.1,0.01
Josh Rosen,QB,MIA,NE,-110,48.50,18.50,15.00,4600,2.6,0.6,0.00
Chandler Cox,RB,MIA,NE,-110,48.50,18.50,15.00,3000,0.2,0.1,0.00
