"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Senorise Perry","BUF","0.1","0.5","0.0","0.1","0.5","0.0","0.0","0.2"
"Cethan Carter","CIN","0.3","0.9","0.0","0.0","0.4","0.0","0.0","0.0"
"Elijah Holyfield","CAR","0.3","0.9","0.0","0.0","0.4","0.0","0.0","0.0"
" ","0.3","0.9","0.0","0.0","0.4","0.0","0.0","0.0"
"Trayveon Williams","CIN","2.0","5.8","0.0","0.0","2.4","0.0","0.0","0.0"
"Elijah McGuire","CLE","5.3","8.5","0.0","0.0","5.3","0.0","0.0","0.0"
"Jay Finley","CIN","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0"
"Bryce Love","WAS","0.3","0.9","0.0","0.0","0.4","0.0","0.0","0.0"
"Rod Smith","NYG","0.8","1.2","0.0","0.0","0.8","0.0","0.0","0.0"
"John Kelly","LAR","3.1","9.7","0.0","0.0","3.1","0.0","0.0","0.0"
"Tavon Austin","DAL","1.7","4.9","0.0","0.0","2.1","0.0","0.0","0.0"
"Jeff Wilson","SF","2.8","8.4","0.0","0.0","2.7","0.0","0.0","0.0"
"Karan Higdon","HOU","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0"
"Alfred Blue","JAC","1.2","3.4","0.0","0.0","0.6","0.0","0.0","0.0"
"Myles Gaskin","MIA","1.5","4.3","0.0","0.0","1.8","0.0","0.0","0.0"
"Cordarrelle Patterson","CHI","1.1","3.0","0.0","0.0","1.3","0.0","0.0","0.0"
"Qadree Ollison","ATL","1.7","5.0","0.0","0.0","2.1","0.0","0.0","0.0"
"Detrez Newsome","LAC","0.9","2.4","0.0","0.0","0.8","0.0","0.0","0.0"
"Mike Weber","DAL","2.5","7.4","0.0","0.0","3.1","0.0","0.0","0.0"
"Trey Edmunds","PIT","0.4","1.0","0.0","0.0","0.3","0.0","0.0","0.0"
"Patrick Laird","MIA","0.0","0.1","0.0","0.0","0.1","0.0","0.0","0.0"
"Andy Janovich","DEN","0.8","1.7","0.0","0.0","1.4","0.0","0.0","0.0"
"Boston Scott","PHI","0.3","0.9","0.0","0.0","0.4","0.0","0.0","0.0"
"Damarea Crockett","OAK","0.8","2.2","0.0","0.0","0.9","0.0","0.0","0.0"
""
""
