"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
"Jordan Chunn","DAL","0.4","2.0","0.0","0.3","2.0","0.0","0.0","0.4"
"Zach Line","NO","0.5","1.6","0.0","0.3","1.7","0.0","0.0","0.4"
"Derek Watt","LAC","0.4","1.4","0.0","0.3","1.9","0.0","0.0","0.4"
"Dwayne Washington","NO","0.5","1.7","0.0","0.2","1.2","0.0","0.0","0.4"
"De'Lance Turner","BAL","0.3","1.1","0.0","0.2","1.4","0.0","0.0","0.4"
"Shaun Wilson","WAS","0.3","1.2","0.0","0.2","1.3","0.0","0.0","0.4"
"Garrett Griffin","NO","0.3","1.2","0.0","0.2","1.2","0.0","0.0","0.4"
"Roosevelt Nix","PIT","0.2","0.5","0.0","0.3","2.2","0.0","0.0","0.3"
"Keith Smith","ATL","0.1","0.1","0.0","0.4","2.7","0.0","0.0","0.3"
"Matthew Dayes","NO","0.2","0.9","0.0","0.1","1.0","0.0","0.0","0.3"
"Buddy Howell","HOU","0.7","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Detrez Newsome","LAC","0.5","2.0","0.0","0.1","1.0","0.0","0.0","0.3"
"Qadree Ollison","ATL","0.6","2.0","0.0","0.2","1.0","0.0","0.0","0.3"
"Devine Ozigbo","JAC","0.4","2.0","0.0","0.2","1.0","0.0","0.0","0.3"
"Nick Bawden","DET","0.3","1.0","0.0","0.2","2.0","0.0","0.0","0.3"
"Patrick Laird","MIA","0.0","0.0","0.0","0.4","3.0","0.0","0.0","0.3"
"Kenjon Barner","ATL","0.2","0.9","0.0","0.2","1.4","0.0","0.0","0.3"
"Jamize Olawale","DAL","0.1","0.8","0.0","0.1","1.4","0.0","0.0","0.3"
"Patrick Ricard","BAL","0.2","0.7","0.0","0.2","1.4","0.0","0.0","0.3"
"Senorise Perry","BUF","0.4","1.5","0.0","0.1","0.5","0.0","0.0","0.2"
"Khari Blasingame","MIN","0.1","1.0","0.0","0.2","1.0","0.0","0.0","0.2"
"Cullen Gillaspia","HOU","0.3","1.0","0.0","0.2","1.0","0.0","0.0","0.2"
"Byron Marshall","WAS","0.4","1.0","0.0","0.2","1.0","0.0","0.0","0.2"
"Dan Vitale","GB","0.1","0.1","0.0","0.2","1.0","0.0","0.0","0.1"
"Jeff Wilson","SF","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Trey Edmunds","PIT","0.3","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Ryan Nall","CHI","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Valentine Holmes","NYJ","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Mike Weber","DAL","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
"Reggie Bonnafon","CAR","0.0","0.0","0.0","0.2","1.0","0.0","0.0","0.1"
"Christian Wade","BUF","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
""
""
