"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Tavon Austin","DAL","0.6","8.4","0.1","0.5","2.5","0.0","0.0","1.6"
"Gary Jennings","SEA","1.0","11.3","0.1","0.0","0.0","0.0","0.0","1.6"
"Chester Rogers","IND","1.2","11.0","0.1","0.0","0.0","0.0","0.0","1.6"
"Jakobi Meyers","NE","0.9","11.0","0.1","0.0","0.0","0.0","0.0","1.5"
"Kelvin Harmon","WAS","1.0","10.7","0.1","0.0","0.0","0.0","0.0","1.5"
"Deon Cain","IND","1.0","10.3","0.1","0.1","0.5","0.0","0.0","1.5"
"Russell Shepard","NYG","0.7","9.2","0.1","0.0","0.0","0.0","0.0","1.4"
"Keith Kirkwood","NO","0.7","8.3","0.1","0.0","0.0","0.0","0.0","1.4"
"Kendrick Bourne","SF","0.9","9.8","0.1","0.0","0.0","0.0","0.0","1.4"
"Josh Doctson","MIN","0.8","9.6","0.1","0.0","0.0","0.0","0.0","1.3"
"Austin Carr","NO","0.7","7.4","0.1","0.0","0.0","0.0","0.0","1.3"
"KeeSean Johnson","ARI","0.7","9.2","0.1","0.0","0.0","0.0","0.0","1.2"
"Chris Moore","BAL","0.6","7.9","0.0","0.2","1.2","0.0","0.0","1.1"
"Bobo Wilson","TB","0.7","7.2","0.1","0.0","0.0","0.0","0.0","1.1"
"Riley Ridley","CHI","0.7","8.9","0.0","0.0","0.0","0.0","0.0","1.1"
"Justin Hardy","ATL","0.7","6.9","0.0","0.0","0.0","0.0","0.0","1.0"
"Byron Marshall","WAS","0.5","7.0","0.0","0.0","0.2","0.0","0.0","0.9"
"Dontrelle Inman","LAC","0.5","5.0","0.1","0.0","0.0","0.0","0.0","0.9"
"Dwayne Harris","OAK","0.5","5.9","0.0","0.1","0.8","0.0","0.0","0.9"
"DeAndre Carter","HOU","0.6","6.5","0.0","0.1","0.5","0.0","0.0","0.8"
"Emmanuel Butler","NO","0.7","8.0","0.0","0.0","0.0","0.0","0.0","0.8"
"Diontae Johnson","PIT","0.5","6.7","0.0","0.0","0.0","0.0","0.0","0.8"
"Malik Turner","SEA","0.5","5.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Mack Hollins","PHI","0.4","5.1","0.0","0.1","0.5","0.0","0.0","0.7"
"Ray-Ray McCloud","CAR","0.4","5.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Ryan Grant","OAK","0.6","5.7","0.0","0.0","0.0","0.0","0.0","0.7"
"Trent Taylor","SF","1.1","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Juwann Winfree","DEN","0.6","7.0","0.0","0.0","0.0","0.0","0.0","0.7"
"Trevor Davis","GB","0.5","5.2","0.0","0.0","0.0","0.0","0.0","0.7"
"Damion Ratley","CLE","0.5","5.2","0.0","0.0","0.0","0.0","0.0","0.7"
"Russell Gage","ATL","0.5","5.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Andre Roberts","BUF","0.5","5.1","0.0","0.0","0.0","0.0","0.0","0.6"
"Jaleel Scott","BAL","0.5","6.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Auden Tate","CIN","0.6","6.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Vyncint Smith","HOU","0.4","6.0","0.0","0.0","0.0","0.0","0.0","0.6"
"K.J. Brent","TB","0.3","3.9","0.0","0.0","0.0","0.0","0.0","0.6"
"Geremy Davis","LAC","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.6"
"Brandon Zylstra","CAR","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Isaiah McKenzie","BUF","0.3","3.4","0.0","0.2","1.1","0.0","0.0","0.5"
"Cody Core","NYG","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.5"
"Darius Slayton","NYG","0.4","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Derrick Willies","CLE","0.3","3.8","0.0","0.0","0.0","0.0","0.0","0.5"
"Chris Lacy","DET","0.4","3.9","0.0","0.0","0.0","0.0","0.0","0.5"
"Darius Jennings","TEN","0.3","3.6","0.0","0.0","0.1","0.0","0.0","0.5"
"JoJo Natson","LAR","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Pharoh Cooper","CIN","0.3","2.7","0.0","0.1","0.8","0.0","0.0","0.4"
"Byron Pringle","KC","0.3","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Terrelle Pryor","JAC","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Keelan Doss","JAC","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Cam Sims","WAS","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Scott Miller","TB","0.4","4.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Isaiah Ford","MIA","0.3","3.7","0.0","0.0","0.0","0.0","0.0","0.4"
"Damiere Byrd","ARI","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Isaac Whitney","HOU","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.4"
"Jehu Chesson","WAS","0.2","2.8","0.0","0.0","0.0","0.0","0.0","0.4"
"Kalif Raymond","TEN","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.4"
"Trent Sherfield","ARI","0.3","2.8","0.0","0.0","0.0","0.0","0.0","0.3"
"Javon Wims","CHI","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Noah Brown","DAL","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Andre Patton","LAC","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Jon'Vea Johnson","DAL","0.3","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
"Christian Blake","ATL","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.3"
