"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Willie Snead","BAL","3.4","35.5","0.1","0.1","0.5","0.0","0.0","5.9"
"Tre'Quan Smith","NO","2.3","37.3","0.2","0.0","0.2","0.0","0.0","5.8"
"Deebo Samuel","SF","2.8","31.2","0.2","0.0","0.3","0.0","0.1","5.6"
"Rashard Higgins","CLE","2.4","35.7","0.1","0.0","0.1","0.0","0.1","5.5"
"Miles Boykin","BAL","2.5","33.8","0.2","0.1","0.3","0.0","0.1","5.5"
"John Ross","CIN","2.7","28.7","0.2","0.2","1.0","0.0","0.0","5.4"
"Marqise Lee","JAC","2.8","34.6","0.1","0.2","1.5","0.0","0.1","5.4"
"Breshad Perriman","TB","2.4","32.6","0.1","0.2","0.8","0.0","0.0","5.3"
"Devin Funchess","IND","2.6","32.8","0.1","0.0","0.0","0.0","0.0","5.2"
"D.K. Metcalf","SEA","2.1","32.4","0.2","0.0","0.3","0.0","0.1","5.2"
"Jaron Brown","SEA","2.0","23.5","0.3","0.1","0.3","0.0","0.0","5.2"
"Nelson Agholor","PHI","2.7","28.2","0.1","0.2","1.3","0.0","0.0","5.1"
"Marquise Brown","BAL","1.9","28.3","0.2","0.5","3.5","0.0","0.1","5.0"
"Robert Foster","BUF","1.7","33.0","0.1","0.0","0.4","0.0","0.0","4.8"
"D.J. Chark","JAC","2.4","31.8","0.1","0.0","0.2","0.0","0.1","4.8"
"Chris Conley","JAC","2.6","26.6","0.1","0.0","0.0","0.0","0.0","4.7"
"Kenny Stills","HOU","1.8","29.7","0.1","0.0","0.0","0.0","0.0","4.6"
"Cody Latimer","NYG","2.4","27.0","0.1","0.0","0.0","0.0","0.0","4.4"
"Phillip Dorsett","NE","2.2","22.6","0.1","0.2","1.0","0.0","0.0","4.3"
"J.J. Nelson","OAK","2.1","25.3","0.1","0.2","1.1","0.0","0.0","4.2"
"Jakeem Grant","MIA","1.8","25.5","0.1","0.3","1.6","0.0","0.1","4.1"
"Terry McLaurin","WAS","2.0","25.1","0.1","0.2","1.0","0.0","0.0","4.1"
"Travis Benjamin","LAC","1.9","25.1","0.1","0.4","2.2","0.0","0.0","4.1"
"Andy Isabella","ARI","1.5","24.1","0.1","0.2","1.1","0.0","0.0","3.8"
"Chad Beebe","MIN","2.1","23.1","0.1","0.0","0.1","0.0","0.0","3.8"
"Damion Willis","CIN","1.8","21.3","0.1","0.0","0.0","0.0","0.0","3.7"
"Ryan Grant","OAK","2.1","21.4","0.1","0.0","0.0","0.0","0.0","3.6"
"Chris Hogan","CAR","1.5","22.1","0.1","0.1","0.3","0.0","0.0","3.6"
"Mecole Hardman","KC","1.5","21.7","0.1","0.0","0.2","0.0","0.1","3.5"
"Tim Patrick","DEN","1.5","22.4","0.1","0.1","0.5","0.0","0.1","3.5"
"Jarius Wright","CAR","2.0","19.1","0.1","0.1","1.1","0.0","0.0","3.5"
"A.J. Brown","TEN","1.8","22.2","0.1","0.0","0.3","0.0","0.1","3.4"
"KeeSean Johnson","ARI","1.9","22.2","0.0","0.0","0.0","0.0","0.0","3.4"
"Preston Williams","MIA","1.6","21.1","0.1","0.0","0.0","0.0","0.0","3.4"
"Bennie Fowler","NYG","1.6","21.5","0.1","0.0","0.0","0.0","0.0","3.4"
"J.J. Arcega-Whiteside","PHI","1.6","17.4","0.1","0.0","0.0","0.0","0.0","3.3"
"Keith Kirkwood","NO","1.3","18.8","0.1","0.0","0.1","0.0","0.0","3.3"
"Jake Kumerow","GB","1.6","19.8","0.1","0.0","0.2","0.0","0.0","3.3"
"Gary Jennings","SEA","1.4","16.5","0.1","0.0","0.0","0.0","0.0","3.1"
"Alex Erickson","CIN","1.7","18.9","0.0","0.2","0.6","0.0","0.0","3.1"
"Allen Hurns","MIA","1.5","19.1","0.1","0.0","0.0","0.0","0.0","3.1"
"Olabisi Johnson","MIN","1.6","16.0","0.1","0.0","0.0","0.0","0.0","3.0"
"Parris Campbell","IND","1.4","15.4","0.1","0.1","0.6","0.0","0.0","2.8"
"Cordarrelle Patterson","CHI","1.0","13.6","0.0","0.9","5.5","0.0","0.0","2.8"
"Josh Reynolds","LAR","1.2","14.5","0.1","0.1","0.6","0.0","0.0","2.7"
"Keelan Cole","JAC","1.2","19.1","0.0","0.0","0.0","0.0","0.0","2.7"
"Tajae Sharpe","TEN","1.5","14.9","0.1","0.1","0.5","0.0","0.0","2.7"
"Kendrick Bourne","SF","1.5","14.4","0.1","0.0","0.0","0.0","0.0","2.7"
"Dontrelle Inman","LAC","1.4","13.9","0.1","0.0","0.0","0.0","0.0","2.5"
"Demarcus Robinson","KC","1.3","14.8","0.1","0.0","0.0","0.0","0.0","2.5"
"Ryan Switzer","PIT","1.1","13.8","0.1","0.3","1.6","0.0","0.0","2.4"
"Justin Watson","TB","1.1","14.6","0.1","0.0","0.1","0.0","0.0","2.3"
"Jakobi Meyers","NE","1.1","12.9","0.1","0.0","0.1","0.0","0.0","2.3"
"Seth Roberts","BAL","1.5","12.6","0.0","0.0","0.0","0.0","0.0","2.3"
"Kelvin Harmon","WAS","1.1","12.4","0.1","0.0","0.0","0.0","0.0","2.2"
"Tavon Austin","DAL","0.9","10.8","0.0","0.6","3.4","0.0","0.0","2.2"
"Chester Rogers","IND","1.3","13.0","0.0","0.0","0.0","0.0","0.0","2.1"
"Russell Shepard","NYG","0.9","13.3","0.1","0.1","0.7","0.0","0.0","2.1"
"Justin Hardy","ATL","1.1","11.2","0.1","0.0","0.0","0.0","0.0","2.0"
"Deon Cain","IND","0.9","10.4","0.1","0.1","0.5","0.0","0.0","1.9"
"John Ursua","SEA","0.7","9.0","0.1","0.0","0.0","0.0","0.0","1.9"
"Chris Lacy","DET","1.0","9.4","0.1","0.0","0.0","0.0","0.0","1.8"
"Chris Moore","BAL","0.6","11.2","0.0","0.2","1.2","0.0","0.0","1.7"
"Austin Carr","NO","0.7","9.0","0.1","0.0","0.1","0.0","0.0","1.6"
"DeAndre Carter","HOU","0.7","11.1","0.0","0.0","0.4","0.0","0.0","1.6"
"Diontae Johnson","PIT","0.6","8.2","0.1","0.0","0.0","0.0","0.0","1.5"
"Bobo Wilson","TB","0.7","8.3","0.0","0.0","0.1","0.0","0.0","1.5"
"Isaiah McKenzie","BUF","0.6","7.7","0.0","0.2","1.6","0.0","0.0","1.5"
"Cody Core","NYG","0.9","7.5","0.0","0.0","0.0","0.0","0.0","1.4"
