PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
James Develin,RB,NE,PIT,-110,49.00,-5.50,27.25,3000,1.0,0.3,0.12
Trayveon Williams,RB,CIN,@SEA,-110,44.00,9.50,17.25,3000,0.4,0.1,0.12
Justin Hardy,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.6,0.5,0.10
Zach Pascal,WR,IND,@LAC,-110,44.50,6.50,19.00,3100,1.4,0.4,0.10
KhaDarel Hodge,WR,CLE,TEN,-110,45.50,-5.50,25.50,3000,1.3,0.4,0.10
Bennie Fowler,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,1.1,0.4,0.10
Samaje Perine,RB,CIN,@SEA,-110,44.00,9.50,17.25,3000,0.2,0.1,0.10
Dwayne Harris,WR,OAK,DEN,-110,43.00,2.50,20.25,3000,2.3,0.8,0.09
Chris Lacy,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.8,0.6,0.09
Michael Crabtree,WR,ARI,DET,-105,46.50,2.50,22.00,3400,2.2,0.6,0.08
Mike Thomas,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3000,1.2,0.4,0.08
Scott Miller,WR,TB,SF,-110,51.00,-1.00,26.00,3000,0.7,0.2,0.08
Travis Fulgham,WR,DET,@ARI,-115,46.50,-2.50,24.50,3000,1.4,0.5,0.07
Olamide Zaccheaus,WR,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.1,0.4,0.07
Nsimba Webster,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3000,1.0,0.3,0.07
Russell Shepard,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,0.7,0.2,0.07
Paul Perkins,RB,NYG,@DAL,-115,45.50,7.50,19.00,3300,0.4,0.1,0.07
Isaiah McKenzie,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3000,1.2,0.4,0.06
Brian Hill,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,1.0,0.3,0.06
Ty Johnson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3000,0.8,0.3,0.06
Trevon Wesco,TE,NYJ,BUF,-115,40.50,-2.50,21.50,2500,0.6,0.2,0.06
Andre Roberts,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3000,1.3,0.4,0.05
Byron Pringle,WR,KC,@JAX,-120,51.50,-3.00,27.25,3000,1.2,0.4,0.05
Kenjon Barner,RB,ATL,@MIN,-110,47.50,4.00,21.75,3000,0.6,0.2,0.05
Cody Core,WR,NYG,@DAL,-115,45.50,7.50,19.00,3000,0.3,0.1,0.05
Trenton Cannon,RB,NYJ,BUF,-115,40.50,-2.50,21.50,3000,2.6,0.9,0.04
Josh Bellamy,WR,NYJ,BUF,-115,40.50,-2.50,21.50,3000,2.1,0.7,0.04
D.J. Foster,RB,ARI,DET,-105,46.50,2.50,22.00,3000,1.0,0.3,0.03
