PLAYER,POS,TEAM,OPP,ML,O/U,SPRD,TM/P,SAL,FPTS,VAL,OWN%
T.J. Hockenson,TE,DET,@ARI,-115,46.50,-2.50,24.50,3100,7.3,2.3,1.49
Travis Benjamin,WR,LAC,IND,-110,44.50,-6.50,25.50,3300,7.2,2.2,1.48
Giovani Bernard,RB,CIN,@SEA,-110,44.00,9.50,17.25,4100,7.1,1.7,1.48
Geoff Swaim,TE,JAX,KC,100,51.50,3.00,24.25,2900,5.6,1.9,1.47
Lamar Jackson,QB,BAL,@MIA,-110,38.50,-6.50,22.50,6000,20.4,3.4,1.41
Ryan Switzer,WR,PIT,@NE,-110,49.00,5.50,21.75,3200,5.9,1.8,1.40
Adam Shaheen,TE,CHI,GB,-115,46.50,-3.00,24.75,2700,5.8,2.2,1.39
Jesse James,TE,DET,@ARI,-115,46.50,-2.50,24.50,2500,6.2,2.5,1.37
Darrell Henderson,RB,LAR,@CAR,-110,50.00,-1.50,25.75,4800,8.8,1.8,1.36
Matthew Stafford,QB,DET,@ARI,-115,46.50,-2.50,24.50,5400,16.5,3.1,1.34
Zay Jones,WR,BUF,@NYJ,-105,40.50,2.50,19.00,3700,8.0,2.2,1.33
Danny Amendola,WR,DET,@ARI,-115,46.50,-2.50,24.50,3600,7.8,2.2,1.32
James Washington,WR,PIT,@NE,-110,49.00,5.50,21.75,3900,6.1,1.6,1.31
Marquez Valdes-Scantling,WR,GB,@CHI,-105,46.50,3.00,21.75,4400,8.9,2.0,1.29
C.J. Uzomah,TE,CIN,@SEA,-110,44.00,9.50,17.25,2600,4.9,1.9,1.29
Quincy Enunwa,WR,NYJ,BUF,-115,40.50,-2.50,21.50,3800,9.5,2.5,1.25
C.J. Anderson,RB,DET,@ARI,-115,46.50,-2.50,24.50,3900,8.0,2.1,1.25
Terry McLaurin,WR,WAS,@PHI,-110,45.00,10.00,17.50,3300,5.5,1.7,1.24
Noah Fant,TE,DEN,@OAK,-110,43.00,-2.50,22.75,3400,7.0,2.1,1.23
Cody Latimer,WR,NYG,@DAL,-115,45.50,7.50,19.00,3300,6.4,2.0,1.22
Ito Smith,RB,ATL,@MIN,-110,47.50,4.00,21.75,4000,8.2,2.1,1.20
Jarius Wright,WR,CAR,LAR,-110,50.00,1.50,24.25,3200,6.5,2.0,1.19
Nick Vannett,TE,SEA,CIN,-110,44.00,-9.50,26.75,2700,3.6,1.3,1.19
Eli Manning,QB,NYG,@DAL,-115,45.50,7.50,19.00,5000,13.3,2.7,1.17
DaeSean Hamilton,WR,DEN,@OAK,-110,43.00,-2.50,22.75,4400,8.4,1.9,1.16
Josh Hill,TE,NO,HOU,-105,52.50,-7.00,29.75,2700,3.8,1.4,1.12
Josh Reynolds,WR,LAR,@CAR,-110,50.00,-1.50,25.75,3300,6.6,2.0,1.11
Jacoby Brissett,QB,IND,@LAC,-110,44.50,6.50,19.00,5300,14.0,2.6,1.10
Chad Beebe,WR,MIN,ATL,-110,47.50,-4.00,25.75,3000,4.9,1.6,1.02
Jonnu Smith,TE,TEN,@CLE,-110,45.50,5.50,20.00,2700,3.7,1.4,1.01
Irv Smith Jr.,TE,MIN,ATL,-110,47.50,-4.00,25.75,2700,3.7,1.4,0.98
Ross Dwelley,TE,SF,@TB,-110,51.00,1.00,25.00,2500,3.4,1.4,0.95
Derek Carr,QB,OAK,DEN,-110,43.00,2.50,20.25,5400,15.9,3.0,0.92
Marqise Lee,WR,JAX,KC,100,51.50,3.00,24.25,4400,5.4,1.2,0.92
Ian Thomas,TE,CAR,LAR,-110,50.00,1.50,24.25,2800,4.5,1.6,0.92
Frank Gore,RB,BUF,@NYJ,-105,40.50,2.50,19.00,3800,6.8,1.8,0.91
Anthony Firkser,TE,TEN,@CLE,-110,45.50,5.50,20.00,2500,3.2,1.3,0.89
Mike Davis,RB,CHI,GB,-115,46.50,-3.00,24.75,3500,5.8,1.6,0.88
Rex Burkhead,RB,NE,PIT,-110,49.00,-5.50,27.25,3500,5.7,1.6,0.87
Joe Flacco,QB,DEN,@OAK,-110,43.00,-2.50,22.75,5100,15.5,3.1,0.86
Marquise Brown,WR,BAL,@MIA,-110,38.50,-6.50,22.50,3800,8.5,2.2,0.83
Jerell Adams,TE,HOU,@NO,-115,52.50,7.00,22.75,2500,2.6,1.0,0.83
