Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
50,1591043511,sherwood.andrewt,0,168.72,DST Seahawks  WR Cole Beasley TE Kyle Rudolph WR Willie Snead IV WR Amari Cooper RB Christian McCaffrey QB Patrick Mahomes RB Saquon Barkley FLEX DK Metcalf,,Calvin Ridley,WR,5.68%,16.4
51,1577375366,dooomsday25,0,168.66,DST Seahawks  WR Julio Jones TE Hunter Henry RB Leonard Fournette RB Dalvin Cook WR Chris Godwin WR Dede Westbrook QB Lamar Jackson FLEX Chris Carson,,Stefon Diggs,WR,5.68%,5.7
52,1590136052,macho321,0,168.5,DST Seahawks  TE Delanie Walker RB Mark Ingram II QB Dak Prescott WR Curtis Samuel FLEX Dalvin Cook WR Chris Godwin WR Dede Westbrook RB Kerryon Johnson,,Julio Jones,WR,5.24%,15.1
53,1590806828,t001man,0,168.22,DST Cowboys  WR Larry Fitzgerald TE Travis Kelce RB Mark Ingram II WR Robert Woods WR Sterling Shepard QB Patrick Mahomes FLEX Dede Westbrook RB Chris Carson,,Kyle Rudolph,TE,5.24%,0
54,1592237833,cthomps9,0,168.06,DST Seahawks  WR Cole Beasley TE George Kittle RB Leonard Fournette RB Christian McCaffrey WR Dede Westbrook QB Lamar Jackson FLEX Kerryon Johnson WR Calvin Ridley,,Russell Wilson,QB,5.24%,16.64
55,1587302043,LGR4EV,0,167.7,DST Ravens  QB Dak Prescott WR Adam Thielen TE Hunter Henry RB Leonard Fournette RB Dalvin Cook WR Chris Godwin WR Dede Westbrook FLEX Chris Carson,,Brandin Cooks,WR,4.80%,5.9
56,1591196369,bear_down73,0,166.9,DST Ravens  FLEX Le'Veon Bell WR Adam Humphries QB Jacoby Brissett WR Zay Jones TE Mark Andrews RB Christian McCaffrey WR Chris Godwin RB Saquon Barkley,,49ers ,DST,4.80%,27
56,1588863819,Pdaug54,0,166.9,DST 49ers  RB Le'Veon Bell QB Dak Prescott TE Eric Ebron WR Amari Cooper WR Cooper Kupp FLEX Curtis Samuel WR Dede Westbrook RB Saquon Barkley,,Sammy Watkins,WR,4.80%,49.8
58,1592397787,lucktale,0,166.5,DST Chargers  WR DeSean Jackson WR Robert Woods WR Odell Beckham Jr. QB Dak Prescott TE Hunter Henry RB Leonard Fournette RB Nick Chubb FLEX Chris Carson,,Cole Beasley,WR,4.80%,9
59,1587290908,jdz4,0,166.36,DST Browns  WR Larry Fitzgerald FLEX Odell Beckham Jr. TE Geoff Swaim WR Adam Thielen RB Dalvin Cook WR Chris Godwin QB Lamar Jackson RB Chris Carson,,Matt Breida,RB,4.37%,3.7
60,1586941136,DiggsDubs,0,166.32,DST Eagles  TE Greg Olsen WR Randall Cobb RB David Johnson FLEX Devonta Freeman WR Mike Evans WR Sammy Watkins QB Patrick Mahomes RB Chris Carson,,Eric Ebron,TE,4.37%,1.8
61,1592348037,DKDominance,0,166.26,DST Seahawks  TE Travis Kelce WR Cole Beasley WR Marvin Jones Jr. FLEX Austin Ekeler RB Leonard Fournette WR Dede Westbrook QB Lamar Jackson RB Saquon Barkley,,Keenan Allen,WR,4.37%,29.3
62,1587003444,TheMikeDunnShow,0,165.74,DST Redskins  WR Keenan Allen QB Jared Goff WR Tyreek Hill RB Dalvin Cook FLEX Christian McCaffrey TE David Njoku WR Terry McLaurin RB Derrius Guice,,Kyler Murray,QB,4.37%,25.62
63,1588872009,Fearless520,0,165.52,DST 49ers  TE Hunter Henry RB Nick Chubb WR Tyreek Hill RB Dalvin Cook WR Chris Godwin QB Patrick Mahomes WR Dede Westbrook FLEX Chris Carson,,Alshon Jeffery,WR,3.93%,22.1
63,1573917054,mmcdaniel16,0,165.52,DST Ravens  TE Travis Kelce RB Devonta Freeman WR Tyler Boyd FLEX Austin Ekeler WR Curtis Samuel RB Dalvin Cook QB Patrick Mahomes WR Calvin Ridley,,Panthers ,DST,3.93%,4
65,1589987096,xSWINDLERx,0,165.02,DST Browns  WR Tyler Lockett QB Carson Wentz WR Adam Thielen TE Evan Engram FLEX Leonard Fournette RB Dalvin Cook WR Dede Westbrook RB Chris Carson,,DJ Moore,WR,3.93%,13.6
66,1588721678,dkniffbloom,0,164.92,DST Cowboys  TE Delanie Walker QB Kirk Cousins FLEX Mark Ingram II WR Robert Woods WR Keenan Allen WR Adam Thielen RB Dalvin Cook RB Kerryon Johnson,,Jets ,DST,3.93%,18
67,1582022743,xxnaylor81xx,0,164.3,DST Jets  RB Mark Ingram II WR Robert Woods QB Dak Prescott FLEX Mike Evans TE George Kittle WR Curtis Samuel RB Dalvin Cook WR Dede Westbrook,,David Njoku,TE,3.93%,13.7
68,1567282425,pops1954,0,163.62,DST Cowboys  WR DeSean Jackson QB Kirk Cousins WR Julio Jones WR Adam Thielen TE Hunter Henry RB Leonard Fournette RB Dalvin Cook FLEX Chris Carson,,Mark Andrews,TE,3.49%,27.8
69,1585359840,Joeod86,0,163.4,DST Cowboys  TE Travis Kelce QB Dak Prescott WR Amari Cooper WR Sterling Shepard FLEX Adam Thielen RB Peyton Barber RB Austin Ekeler WR Dede Westbrook,,Rams ,DST,3.49%,9
70,1587458011,str8_savage93,0,162.86,DST Seahawks  QB Jameis Winston WR Kenny Golladay TE Evan Engram RB Leonard Fournette FLEX Dalvin Cook WR Chris Godwin WR Dede Westbrook RB Chris Carson,,Michael Gallup,WR,3.49%,25.8
70,1589399235,michaelkiddoh,0,162.86,DST Seahawks  QB Jameis Winston WR Kenny Golladay TE Evan Engram RB Leonard Fournette FLEX Dalvin Cook WR Chris Godwin WR Dede Westbrook RB Chris Carson,,David Johnson,RB,3.49%,25.7
72,1592223461,jp_03,0,162.7,DST Seahawks  WR Marvin Jones Jr. WR Odell Beckham Jr. QB Baker Mayfield TE Evan Engram RB Dalvin Cook FLEX Chris Godwin WR Dede Westbrook RB Chris Carson,,Chiefs ,DST,3.49%,5
73,1591115125,StrandedBullFrog,0,162.62,DST Lions  QB Kirk Cousins RB Mark Ingram II WR Julio Jones WR Adam Thielen TE Evan Engram RB Leonard Fournette FLEX Dalvin Cook WR Dede Westbrook,,Jacoby Brissett,QB,3.49%,16.5
74,1588060026,wrightk16,0,162.46,DST Jets  WR Mike Evans WR Brandin Cooks RB Derrick Henry WR Tyler Boyd TE Hunter Henry FLEX Evan Engram RB Leonard Fournette QB Lamar Jackson,,Jimmy Garoppolo,QB,3.49%,11.44
75,1586211194,tct5001,0,162.36,DST Browns  QB Matt Ryan WR Robert Woods WR Keenan Allen TE Hunter Henry FLEX Leonard Fournette RB Dalvin Cook RB Chris Carson WR Calvin Ridley,,Lions ,DST,3.49%,7
76,1589129130,lastday1,0,162.12,DST Seahawks  TE Travis Kelce WR Jamison Crowder QB Carson Wentz WR Curtis Samuel RB Nick Chubb RB Christian McCaffrey WR Dede Westbrook FLEX Kerryon Johnson,,Dante Pettis,WR,3.06%,1.7
76,1589328910,zapczynj,0,162.12,DST Seahawks  TE Travis Kelce WR Jamison Crowder QB Carson Wentz WR Curtis Samuel RB Nick Chubb RB Christian McCaffrey WR Dede Westbrook FLEX Kerryon Johnson,,Randall Cobb,WR,3.06%,16.9
78,1581153772,scottbird,0,162.1,DST Panthers  TE Delanie Walker WR Larry Fitzgerald QB Dak Prescott WR Stefon Diggs FLEX Matt Breida RB Nick Chubb WR Tyreek Hill RB Christian McCaffrey,,Derrius Guice,RB,3.06%,6.8
79,1590350406,brycovo415,0,161.9,DST Rams  TE Greg Olsen QB Dak Prescott WR Tyler Lockett WR Amari Cooper FLEX Tyler Boyd WR Tyreek Hill RB Marlon Mack RB Chris Carson,,Tevin Coleman,RB,3.06%,7.6
80,1586331833,ericphelps80,0,161.42,DST Seahawks  WR Julio Jones TE Kyle Rudolph WR Sterling Shepard WR Adam Thielen FLEX Mark Andrews RB Nick Chubb RB Christian McCaffrey QB Kyler Murray,,Nick Foles,QB,2.62%,7
81,1581686201,Datdude100,0,161.02,DST Eagles  WR DeSean Jackson RB LeSean McCoy WR Randall Cobb WR Mohamed Sanu TE Zach Ertz FLEX Alshon Jeffery QB Patrick Mahomes RB Saquon Barkley,,Matt Ryan,QB,2.62%,23.56
82,1588058145,frye1103,0,160.62,DST 49ers  WR Odell Beckham Jr. TE Hunter Henry WR Tyreek Hill RB Dalvin Cook QB Patrick Mahomes RB Derrius Guice WR Dede Westbrook FLEX Chris Carson,,John Brown,FLEX,2.62%,28.3
82,1588169526,cplilqw,0,160.62,DST Lions  QB Kirk Cousins FLEX Mark Ingram II WR Sammy Watkins WR Tyler Lockett WR Adam Thielen TE Hunter Henry RB Kerryon Johnson RB Saquon Barkley,,Jamison Crowder,WR,2.62%,24.3
84,1587376435,bestguesstimate,0,160.56,DST Ravens  TE Delanie Walker WR Julio Jones WR Tyler Boyd WR Curtis Samuel FLEX Leonard Fournette RB Nick Chubb RB Dalvin Cook QB Lamar Jackson,,Marlon Mack,RB,2.62%,28.4
85,1583037666,miker112,0,160.44,DST Seahawks  FLEX Mark Ingram II WR Alshon Jeffery RB Le'Veon Bell QB Jimmy Garoppolo WR Amari Cooper RB Leonard Fournette TE David Njoku WR Chris Godwin,,Greg Olsen,TE,2.62%,7.6
86,1589305459,dchayward,0,160.42,DST Bills  QB Carson Wentz WR Adam Thielen WR Curtis Samuel RB Nick Chubb FLEX Dalvin Cook RB Christian McCaffrey WR Chris Godwin TE Will Dissly,,Cam Newton,QB,2.62%,7.36
87,1591578270,Fr3shtildeath,0,159.82,DST Seahawks  TE Zach Ertz WR Odell Beckham Jr. QB Carson Wentz WR Adam Thielen RB Dalvin Cook FLEX David Njoku WR Dede Westbrook RB Chris Carson,,Devonta Freeman,RB,2.18%,5.1
88,1581518598,supertrooper442,0,159.66,DST Ravens  FLEX Marvin Jones Jr. WR Amari Cooper WR Cooper Kupp TE O.J. Howard RB Austin Ekeler RB Joe Mixon QB Lamar Jackson WR DJ Moore,,Joe Mixon,RB,2.18%,3.7
89,1591920562,pvieira,0,159.54,DST Rams  TE Delanie Walker WR Jarvis Landry WR Amari Cooper QB Jared Goff FLEX Peyton Barber RB Nick Chubb RB Christian McCaffrey WR Calvin Ridley,,Zay Jones,WR,2.18%,3.8
90,1577037114,Gryndurr,0,158.92,DST Browns  QB Kirk Cousins WR Brandin Cooks TE Evan Engram RB Matt Breida RB Dalvin Cook FLEX Christian McCaffrey WR Chris Godwin WR Dede Westbrook,,Derrick Henry,RB,2.18%,28.9
91,1586972596,Alec_Volle,0,158.72,DST Browns  WR John Brown QB Carson Wentz RB Damien Williams TE O.J. Howard RB Dalvin Cook WR Dede Westbrook WR DJ Moore FLEX Saquon Barkley,,Bills ,DST,2.18%,10
