"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"38185-29734","RB","Ty","Ty Montgomery","Montgomery","4.523076864389273","13","4900","BUF@NYJ","NYJ","BUF","","","","",""
"38185-72776","RB","Alexander","Alexander Mattison","Mattison","0","0","4900","ATL@MIN","MIN","ATL","","","","",""
"38185-52902","WR","Trey","Trey Quinn","Quinn","6","3","4900","WAS@PHI","WAS","PHI","","","","",""
"38185-52917","WR","DJ","DJ Chark Jr.","Chark Jr.","2.2399999618530275","10","4900","KC@JAC","JAC","KC","","","","",""
"38185-6840","RB","Frank","Frank Gore","Gore","6.899999891008649","14","4900","BUF@NYJ","BUF","NYJ","","","","",""
"38185-53097","WR","Josh","Josh Reynolds","Reynolds","7.125","12","4900","LAR@CAR","LAR","CAR","","","","",""
"38185-56265","TE","Mike","Mike Gesicki","Gesicki","2.085714340209961","14","4900","BAL@MIA","MIA","BAL","","","","",""
"38185-57299","TE","Gerald","Gerald Everett","Everett","4.673333231608073","15","4900","LAR@CAR","LAR","CAR","","","","",""
"38185-32234","RB","Malcolm","Malcolm Brown","Brown","3.6900001525878907","10","4900","LAR@CAR","LAR","CAR","","","","",""
"38185-26610","WR","Paul","Paul Richardson Jr.","Richardson Jr.","7.014285496303013","7","4900","WAS@PHI","WAS","PHI","","","","",""
"38185-52808","RB","Dontrell","Dontrell Hilliard","Hilliard","1.4","10","4800","TEN@CLE","CLE","TEN","","","","",""
"38185-52897","RB","Darrel","Darrel Williams","Williams","4.866666793823242","3","4800","KC@JAC","KC","JAC","","","","",""
"38185-40167","RB","Gus","Gus Edwards","Edwards","8.0727275501598","11","4800","BAL@MIA","BAL","MIA","","","","",""
"38185-22288","WR","Cole","Cole Beasley","Beasley","7.356249809265137","16","4800","BUF@NYJ","BUF","NYJ","","","","",""
"38185-38264","WR","Demarcus","Demarcus Robinson","Robinson","4.557142802647182","14","4800","KC@JAC","KC","JAC","","","","",""
"38185-43912","WR","Chad","Chad Beebe","Beebe","2.950000047683716","2","4800","ATL@MIN","MIN","ATL","","","","",""
"38185-64907","WR","JJ","JJ Arcega-Whiteside","Arcega-Whiteside","0","0","4800","WAS@PHI","PHI","WAS","","","","",""
"38185-44449","WR","Willie","Willie Snead IV","Snead IV","7.385714394705636","14","4800","BAL@MIA","BAL","MIA","","","","",""
"38185-40977","TE","Ricky","Ricky Seals-Jones","Seals-Jones","3.8199999491373697","15","4700","TEN@CLE","CLE","TEN","","","","",""
"38185-22054","WR","Jarius","Jarius Wright","Wright","4.756249904632568","16","4700","LAR@CAR","CAR","LAR","","","","",""
"38185-55366","RB","Qadree","Qadree Ollison","Ollison","0","0","4700","ATL@MIN","ATL","MIN","","","","",""
"38185-38509","RB","Wendell","Wendell Smallwood","Smallwood","7.953846271221455","13","4700","WAS@PHI","WAS","PHI","","","","",""
"38185-79998","WR","Keelan","Keelan Cole","Cole","5.392307574932392","13","4700","KC@JAC","JAC","KC","","","","",""
"38185-31406","RB","Alfred","Alfred Blue","Blue","5.456250190734863","16","4700","KC@JAC","JAC","KC","IR","Ankle","","",""
"38185-63383","RB","Jordan","Jordan Scarlett","Scarlett","0","0","4700","LAR@CAR","CAR","LAR","","","","",""
"38185-64585","TE","Dawson","Dawson Knox","Knox","0","0","4600","BUF@NYJ","BUF","NYJ","","","","",""
"38185-83091","RB","Trenton","Trenton Cannon","Cannon","3.6545455239035864","11","4600","BUF@NYJ","NYJ","BUF","","","","",""
"38185-12545","D","Philadelphia","Philadelphia Eagles","Eagles","6.0625","16","4600","WAS@PHI","PHI","WAS","","","","",""
"38185-7972","RB","Darren","Darren Sproles","Sproles","8.916666666666666","6","4600","WAS@PHI","PHI","WAS","","","","",""
"38185-72515","TE","Ian","Ian Thomas","Thomas","6.329999923706055","10","4600","LAR@CAR","CAR","LAR","","","","",""
"38185-31061","RB","T.J.","T.J. Yeldon","Yeldon","10.400000435965401","14","4600","BUF@NYJ","BUF","NYJ","","","","",""
"38185-14704","WR","Chris","Chris Hogan","Hogan","5.913333129882813","15","4600","LAR@CAR","CAR","LAR","","","","",""
"38185-60930","RB","Myles","Myles Gaskin","Gaskin","0","0","4500","BAL@MIA","MIA","BAL","","","","",""
"38185-54280","WR","Duke","Duke Williams","Williams","0","0","4500","BUF@NYJ","BUF","NYJ","","","","",""
"38185-62994","WR","Steven","Steven Sims Jr.","Sims Jr.","0","0","4500","WAS@PHI","WAS","PHI","","","","",""
"38185-61468","WR","Juwan","Juwan Foggie","Foggie","0","0","4500","BUF@NYJ","BUF","NYJ","","","","",""
"38185-56356","WR","Isaiah","Isaiah Ford","Ford","0","1","4500","BAL@MIA","MIA","BAL","","","","",""
"38185-52776","WR","Marcus","Marcus Green","Green","0","0","4500","WAS@PHI","PHI","WAS","","","","",""
"38185-70705","TE","Trevon","Trevon Wesco","Wesco","0","0","4500","BUF@NYJ","NYJ","BUF","","","","",""
"38185-63033","RB","Marcus","Marcus Marshall","Marshall","0","0","4500","KC@JAC","KC","JAC","","","","",""
"38185-69184","WR","Dillon","Dillon Mitchell","Mitchell","0","0","4500","ATL@MIN","MIN","ATL","","","","",""
"38185-44103","RB","Elijah","Elijah McGuire","McGuire","9.550000190734863","8","4500","TEN@CLE","CLE","TEN","","","","",""
"38185-104008","TE","Stephen","Stephen Carlson","Carlson","0","0","4500","TEN@CLE","CLE","TEN","","","","",""
"38185-27229","RB","Ameer","Ameer Abdullah","Abdullah","0.26666667726304794","9","4500","ATL@MIN","MIN","ATL","","","","",""
"38185-62055","WR","Ray-Ray","Ray-Ray McCloud","McCloud","0.5625","8","4500","LAR@CAR","CAR","LAR","","","","",""
"38185-79982","RB","Alex","Alex Armah","Armah","1.8125","8","4500","LAR@CAR","CAR","LAR","","","","",""
"38185-55414","WR","Cody","Cody Thompson","Thompson","0","0","4500","KC@JAC","KC","JAC","","","","",""
"38185-52345","WR","Brandon","Brandon Powell","Powell","3.133333206176758","6","4500","ATL@MIN","ATL","MIN","","","","",""
"38185-38523","TE","Geoff","Geoff Swaim","Swaim","5.400000095367432","8","4500","KC@JAC","JAC","KC","","","","",""
"38185-61570","RB","Chandler","Chandler Cox","Cox","0","0","4500","BAL@MIA","MIA","BAL","","","","",""
"38185-61060","RB","Devine","Devine Ozigbo","Ozigbo","0","0","4500","KC@JAC","JAC","KC","","","","",""
"38185-55941","RB","Patrick","Patrick Laird","Laird","0","0","4500","BAL@MIA","MIA","BAL","","","","",""
"38185-53913","WR","Cody","Cody Hollister","Hollister","0","0","4500","TEN@CLE","TEN","CLE","","","","",""
"38185-25760","WR","Allen","Allen Hurns","Hurns","3.9615384615384617","13","4500","BAL@MIA","MIA","BAL","","","","",""
"38185-47780","WR","Taywan","Taywan Taylor","Taylor","5.315384498009315","13","4500","TEN@CLE","CLE","TEN","","","","",""
"38185-29351","WR","De'Anthony","De'Anthony Thomas","Thomas","2.2","5","4500","KC@JAC","KC","JAC","O","Suspension","","",""
"38185-55976","WR","Ajene","Ajene Harris","Harris","0","0","4500","WAS@PHI","PHI","WAS","","","","",""
"38185-29357","RB","Kenjon","Kenjon Barner","Barner","0.8777777883741591","9","4500","ATL@MIN","ATL","MIN","","","","",""
