"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"37435-21948","QB","Ryan","Ryan Tannehill","Tannehill","13.76909151944247","11","6000","TEN@CLE","TEN","CLE","","","","",""
"37435-34308","QB","Blake","Blake Bortles","Bortles","14.170769324669472","13","6000","LAR@CAR","LAR","CAR","","","","",""
"37435-6679","QB","Matt","Matt Schaub","Schaub","0.30000001192092896","2","6000","ATL@MIN","ATL","MIN","","","","",""
"37435-30231","QB","Jacoby","Jacoby Brissett","Brissett","-0.1550000011920929","4","6000","IND@LAC","IND","LAC","","","","",""
"37435-23075","QB","Alex","Alex Tanney","Tanney","0","0","6000","NYG@DAL","NYG","DAL","","","","",""
"37435-30253","QB","Jeff","Jeff Driskel","Driskel","10.890000343322754","8","6000","CIN@SEA","CIN","SEA","IR","Hamstring","","",""
"37435-7744","QB","Drew","Drew Stanton","Stanton","0","0","6000","TEN@CLE","CLE","TEN","","","","",""
"37435-104021","QB","Taryn","Taryn Christion","Christion","0","0","6000","NYG@DAL","DAL","NYG","","","","",""
"37435-40534","QB","Mike","Mike White","White","0","0","6000","NYG@DAL","DAL","NYG","","","","",""
"37435-104025","QB","John","John Lovett","Lovett","0","0","6000","KC@JAC","KC","JAC","IR","Shoulder","","",""
"37435-41562","QB","Nick","Nick Mullens","Mullens","16.684999465942383","8","6000","SF@TB","SF","TB","","","","",""
"37435-7844","QB","Chad","Chad Henne","Henne","1.4600000381469727","1","6000","KC@JAC","KC","JAC","IR","Ankle","","",""
"37435-44715","QB","Cooper","Cooper Rush","Rush","0","0","6000","NYG@DAL","DAL","NYG","","","","",""
"37435-62133","QB","Chase","Chase Litton","Litton","0","0","6000","KC@JAC","JAC","KC","","","","",""
"37435-33463","QB","Paxton","Paxton Lynch","Lynch","0","0","6000","CIN@SEA","SEA","CIN","","","","",""
"37435-29445","QB","Sean","Sean Mannion","Mannion","0.006666666517655055","3","6000","ATL@MIN","MIN","ATL","","","","",""
"37435-28434","QB","Trevor","Trevor Siemian","Siemian","0","0","6000","BUF@NYJ","NYJ","BUF","","","","",""
"37435-46866","QB","Ryan","Ryan Finley","Finley","0","0","6000","CIN@SEA","CIN","SEA","","","","",""
"37435-70464","QB","Josh","Josh Woodrum","Woodrum","0","0","6000","WAS@PHI","WAS","PHI","IR","Pectoral","","",""
"37435-27477","WR","Sterling","Sterling Shepard","Shepard","9.34375","16","6000","NYG@DAL","NYG","DAL","","","","",""
"37435-104281","QB","Jake","Jake Dolegala","Dolegala","0","0","6000","CIN@SEA","CIN","SEA","","","","",""
"37435-28515","QB","Cardale","Cardale Jones","Jones","0","0","6000","IND@LAC","LAC","IND","","","","",""
"37435-41827","QB","Phillip","Phillip Walker","Walker","0","0","6000","IND@LAC","IND","LAC","","","","",""
"37435-53095","QB","Kyle","Kyle Allen","Allen","13.270000457763672","2","6000","LAR@CAR","CAR","LAR","","","","",""
"37435-55148","QB","Clayton","Clayton Thorson","Thorson","0","0","6000","NYG@DAL","DAL","NYG","","","","",""
"37435-33647","QB","Kyle","Kyle Sloter","Sloter","0","0","6000","DET@ARI","ARI","DET","","","","",""
"37435-14194","QB","Blaine","Blaine Gabbert","Gabbert","4.630000114440918","8","6000","SF@TB","TB","SF","Q","Shoulder","","",""
"37435-26483","QB","Geno","Geno Smith","Smith","-0.3700000047683716","4","6000","CIN@SEA","SEA","CIN","","","","",""
"37435-39795","QB","Davis","Davis Webb","Webb","0","0","6000","BUF@NYJ","BUF","NYJ","","","","",""
"37435-56192","QB","John","John Wolford","Wolford","0","0","6000","LAR@CAR","LAR","CAR","","","","",""
"37435-29587","QB","Cody","Cody Kessler","Kessler","8.131999969482422","5","6000","WAS@PHI","PHI","WAS","","","","",""
"37435-29605","QB","Matt","Matt Barkley","Barkley","17.079999923706055","1","6000","BUF@NYJ","BUF","NYJ","","","","",""
