"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Trent Taylor","SF","0.7","6.1","0.0","0.0","0.0","0.0","0.0","1.4"
"Dwayne Harris","OAK","0.6","6.0","0.0","0.2","0.8","0.0","0.0","1.4"
"Brandon Zylstra","CAR","0.5","5.7","0.1","0.0","0.0","0.0","0.0","1.4"
"Javon Wims","CHI","0.6","5.8","0.0","0.0","0.0","0.0","0.0","1.2"
"Jakobi Meyers","NE","0.4","7.4","0.0","0.0","0.1","0.0","0.0","1.2"
"Jalen Hurd","SF","0.4","5.0","0.0","0.0","0.0","0.0","0.0","1.1"
"Isaiah McKenzie","BUF","0.3","4.0","0.0","0.2","1.7","0.0","0.0","1.1"
"Jaleel Scott","BAL","0.5","5.0","0.0","0.0","0.0","0.0","0.0","1.0"
"TJ Jones","NYG","0.4","4.6","0.0","0.0","0.0","0.0","0.0","1.0"
"Riley Ridley","CHI","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Geremy Davis","LAC","0.3","4.2","0.0","0.0","0.0","0.0","0.0","0.9"
"Diontae Spencer","DEN","0.4","3.8","0.0","0.0","0.0","0.0","0.0","0.8"
"J.J. Arcega-Whiteside","PHI","0.3","3.5","0.0","0.0","0.0","0.0","0.0","0.8"
"Braxton Berrios","NYJ","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.8"
"Cody Core","NYG","0.3","3.3","0.0","0.0","0.0","0.0","0.0","0.7"
"Ray-Ray McCloud","CAR","0.3","2.9","0.0","0.0","0.2","0.0","0.0","0.7"
"Tim Patrick","DEN","0.3","4.2","0.0","0.1","0.3","0.0","0.0","0.7"
"Andre Roberts","BUF","0.2","2.3","0.0","0.2","1.6","0.0","0.0","0.7"
"Auden Tate","CIN","0.2","2.9","0.0","0.0","0.0","0.0","0.0","0.6"
"JoJo Natson","LAR","0.2","2.6","0.0","0.0","0.1","0.0","0.0","0.6"
"Andy Isabella","ARI","0.2","3.0","0.0","0.0","0.0","0.0","0.0","0.6"
"Trent Sherfield","ARI","0.2","2.6","0.0","0.0","0.0","0.0","0.0","0.6"
